iteration,class,top,left,bottom,right,center_x,center_y
150,box,186.07,80.04,201.03,95.09,87.565,193.55
150,mario,112.22,151.23,126.79,166.79,159.01,119.505
150,box,153.7,144.25,233.83,158.83,151.54000000000002,193.765
150,goomba,151.16,192.89,165.79,208.29,200.58999999999997,158.475
151,box,86.52,144.04,102.0,159.07,151.555,94.25999999999999
151,box,183.05,80.04,198.06,95.09,87.565,190.555
151,mario,112.28,151.24,126.79,166.79,159.015,119.535
151,goomba,148.08,192.9,162.88,208.36,200.63,155.48000000000002
151,box,150.34,144.24,231.57,158.76,151.5,190.95499999999998
152,box,180.81,80.03,196.02,95.14,87.58500000000001,188.41500000000002
152,box,84.53,144.03,100.02,159.15,151.59,92.275
152,box,148.74,144.23,228.71,158.8,151.515,188.72500000000002
152,mario,112.3,152.12,126.86,167.85,159.985,119.58
152,goomba,145.1,192.98,159.91,208.24,200.61,152.505
153,box,82.48,144.05,98.03,159.09,151.57,90.255
153,box,178.77,80.05,194.04,95.1,87.57499999999999,186.405
153,mario,112.35,153.12,126.59,168.73,160.925,119.47
153,box,146.83,144.23,226.57,158.81,151.51999999999998,186.7
153,goomba,142.07,193.04,157.0,208.03,200.535,149.535
154,box,79.52,144.04,95.06,159.09,151.565,87.28999999999999
154,box,175.97,80.05,191.1,95.1,87.57499999999999,183.535
154,box,144.3,144.21,223.73,158.81,151.51,184.015
154,mario,112.28,155.12,126.86,170.86,162.99,119.57
154,goomba,139.13,193.01,153.94,208.03,200.51999999999998,146.535
155,box,77.54,144.03,92.92,159.1,151.565,85.23
155,box,174.07,80.02,188.94,95.1,87.56,181.505
155,box,141.21,144.23,222.23,158.78,151.505,181.72
155,mario,112.25,158.11,126.81,173.85,165.98000000000002,119.53
155,goomba,136.11,193.07,150.9,208.13,200.6,143.505
156,mario,112.36,161.95,126.71,177.72,169.83499999999998,119.535
156,box,74.57,144.03,89.99,159.12,151.575,82.28
156,box,171.03,80.02,186.01,95.11,87.565,178.51999999999998
156,box,137.81,144.23,219.08,158.75,151.49,178.445
156,goomba,132.17,193.09,147.03,208.11,200.60000000000002,139.6
157,box,135.76,144.23,215.89,158.8,151.515,175.825
157,box,167.82,80.03,183.01,95.13,87.58,175.415
157,box,71.64,144.03,87.01,159.14,151.58499999999998,79.325
157,mario,112.24,167.17,126.77,182.78,174.975,119.505
157,goomba,129.09,193.12,144.0,208.07,200.595,136.54500000000002
158,box,68.61,144.03,84.03,159.14,151.58499999999998,76.32
158,box,164.89,80.03,180.02,95.13,87.58,172.45499999999998
158,mario,112.29,172.05,126.6,187.65,179.85000000000002,119.445
158,box,132.3,144.23,212.89,158.76,151.495,172.595
158,goomba,125.34,193.03,139.99,208.13,200.57999999999998,132.66500000000002
159,box,65.54,144.04,81.01,159.14,151.58999999999997,73.275
159,box,129.98,144.23,209.69,158.8,151.515,169.83499999999998
159,mario,112.35,178.05,126.73,193.55,185.8,119.53999999999999
159,goomba,122.32,193.0,136.96,208.1,200.55,129.64
159,box,161.85,80.04,176.98,95.14,87.59,169.415
160,box,63.54,144.05,79.03,159.1,151.575,71.285
160,box,159.93,80.05,175.06,95.1,87.57499999999999,167.495
160,box,127.92,144.23,207.57,158.82,151.52499999999998,167.745
160,goomba,120.89,196.01,133.68,208.29,202.14999999999998,127.285
160,mario,112.28,185.21,129.56,201.99,193.60000000000002,120.92
161,box,60.52,144.04,76.07,159.1,151.57,68.295
161,box,156.92,80.04,172.12,95.1,87.57,164.51999999999998
161,box,125.25,144.2,204.71,158.81,151.505,164.98000000000002
161,mario,112.25,190.18,128.91,207.02,198.60000000000002,120.58
161,pipe,252.37,175.92,255.99,207.48,191.7,254.18
162,box,153.72,80.04,169.03,95.08,87.56,161.375
162,box,57.57,144.04,72.99,159.09,151.565,65.28
162,mario,112.34,186.3,126.68,201.88,194.09,119.51
162,box,121.71,144.22,202.65,158.8,151.51,162.18
162,goomba,112.84,197.67,126.45,209.06,203.365,119.64500000000001
162,pipe,250.3,176.02,255.98,206.91,191.465,253.14
163,pipe,246.85,175.99,255.89,207.45,191.72,251.37
163,box,54.59,144.04,70.01,159.08,151.56,62.300000000000004
163,mario,112.35,183.24,126.66,198.68,190.96,119.505
163,box,151.01,80.04,166.06,95.09,87.565,158.535
163,box,118.62,144.21,199.45,158.75,151.48000000000002,159.035
163,goomba,109.78,202.1,123.53,208.65,205.375,116.655
164,box,51.64,144.04,66.96,159.08,151.56,59.3
164,box,148.08,80.03,163.0,95.09,87.56,155.54000000000002
164,box,115.6,144.22,196.34,158.8,151.51,155.97
164,mario,112.3,181.1,126.74,196.66,188.88,119.52
164,pipe,243.4,176.0,255.97,207.23,191.615,249.685
164,goomba,106.71,202.09,120.72,209.05,205.57,113.715
165,box,48.7,144.03,63.97,159.08,151.555,56.335
165,box,145.23,80.03,160.02,95.09,87.56,152.625
165,mario,112.33,179.19,126.52,194.3,186.745,119.425
165,box,112.24,144.21,193.23,158.73,151.47,152.73499999999999
165,pipe,240.74,176.0,255.87,207.24,191.62,248.305
165,goomba,103.48,202.28,117.33,208.91,205.595,110.405
166,box,109.64,144.2,189.99,158.79,151.495,149.815
166,box,141.83,80.03,156.95,95.1,87.565,149.39
166,box,45.6,144.03,60.93,159.1,151.565,53.265
